title,isPartOf,pageCount,publicationYear,docSubType
"The Making of the ""Lee's Retreat"" Driving Tour",The George Wright Forum,8,1998,research-article
Review Article,History Workshop,3,1994,book-review
[Editorial],The Journal of Education,3,1906,research-article
Marriage as Crisis: Revisiting a Major Dispute among Hadhramis in Indonesia,The Cambridge Journal of Anthropology,16,2014,research-article
Conserving the Youth: The Civilian Conservation Corps Experience in the Shenandoah National Park,The Virginia Magazine of History and Biography,35,1997,research-article
"Urban communication and health services for the elderly, individuals with sensory defects and people with difficulties of movement (locomotor impairment)",Ekistics,4,1982,research-article
Back Matter,Ekistics,3,1967,misc
The Untouchable Present: Everyday Life of Musahars in North Bihar,Economic and Political Weekly,6,1999,research-article
Review Article,Social History,4,1993,book-review
TOWARDS A SOCIOLOGICAL UNDERSTANDING OF MENTAL WELL-BEING AMONG THE UNEMPLOYED: THE ROLE OF ECONOMIC AND PSYCHOSOCIAL FACTORS,Sociology,21,1999,research-article
Tsunami-tendenko and morality in disasters,Journal of Medical Ethics,2,2015,research-article
Family Structure and Complexity,Journal of Comparative Family Studies,12,1978,research-article
"Even Gary Becker Wouldn't Call Them Altruists! The Case of Mexican Migration: A Reply to Sana And Massey, SSQ June 2005",Social Science Quarterly,10,2007,research-article
Stigma and Social Welfare,Social Work (1939-1970),5,1970,research-article
A Modern Mother's Place Is Wherever Her Children Are: Facilitating Infant and Toddler Mothers' Transitions in Child Care,Young Children,9,1998,research-article
[Association Information],Young Children,17,1993,misc
GOD IS IN THE DETAILS,Reviews in American History,6,2015,book-review
Educational Trails In American History,The Journal of Education,2,1929,research-article
"Caste, Class and Economic Opportunity in Kerala: An Empirical Analysis",Economic and Political Weekly,6,1979,research-article
"""Them's Fighting Words"": Violence, Masculinity, and the Texas Cowboy in the Late Nineteenth Century",The Journal of the Gilded Age and Progressive Era,28,2014,research-article
Whose Logic? The Local Redistribution of Food Aid Targeting Old and Chronically Sick People in Zambia,Human Organization,14,2009,research-article
Review Article,Asian Journal of Social Science,3,2012,book-review
Morris Motors in the 1930s. Part II: Politics and Trade Unionism,History Workshop,21,1979,research-article
Another Look At Structural-Functional Analysis: AN EXERCISE IN AXIOMATIC THEORY CONSTRUCTION,Sociological Bulletin,15,1966,research-article
Humanitarian Crisis as Everyday Life,Sociological Forum,22,2014,research-article
Worldwalker,Transformations: The Journal of Inclusive Scholarship and Pedagogy,5,1998,research-article
THE NATIONAL CONFERENCE,Bulletin of the National Association for Nursery Education,8,1947,misc
"Few Black Voices Heard: The Black Community and the Desegregation Crisis in Clinton, Tennessee, 1956",Tennessee Historical Quarterly,12,1994,research-article
Review Article,NWSA Journal,4,1988,book-review
ANTHROPOLOGY AND COMMUNITY DEVELOPMENT,Ekistics,5,1962,research-article
INDIANS IN THE PLANTATION INDUSTRY OF MALAYA (MID19           <sup>TH</sup>           –20           <sup>TH</sup>           CENTURY),Proceedings of the Indian History Congress,10,2007,research-article
COLLECTING AND PRESERVING INDIANA JEWISH HISTORY,Shofar,4,1984,research-article
Anthropology at Home: Whose Home?,Human Organization,4,1985,research-article
"Breaking down the Walls, Opening up the Field: Situating the Economics Classroom in the Site of Social Action",Journal of Economic Issues,11,1995,research-article
Landed and Landless in Surat District: Virtual Class War,Economic and Political Weekly,4,1974,research-article
Review Article,Middle Eastern Studies,5,1999,book-review
The Size and Scope of the Problem,Official Architecture and Planning,1,1957,research-article
COMMUNITY DEVELOPMENT AND ECONOMIC DEVELOPMENT,Ekistics,6,1961,research-article
Power and Agency in Precolonial African States,Annual Review of Anthropology,19,2013,research-article
Ending 'Sharecroppe Math': The Second Crusade of Bob Moses,US Black Engineer and Information Technology,2,2002,research-article
Toward an Anthropological Approach to Economic Development,Human Organization,3,1982,research-article
"Civil War and Socioeconomic Change in the Upper South: The Survival of Local Agricultural Elites in Tennessee, 1850-1870",Tennessee Historical Quarterly,15,1993,research-article
Defending the Traditional Family,Agenda: A Journal of Policy Analysis and Reform,3,1997,book-review
Deconstruction of Marriage and Family,Transformation,4,2004,research-article
"Chapter 15: Teachers Researching Localities in Social Studies Education: An Example—The History of Education in Shreveport, Louisiana",Counterpoints,63,2001,research-article
"chapter 13: Critical, Liberal, and Poststructural Challenges for Global Education",Counterpoints,20,2006,research-article
Children of Change,Young Children,7,1965,research-article
"A Model Suburb for Model Suburbanites: Order, Control, and Expertise in Thorncrest Village",Urban History Review / Revue d'histoire urbaine,15,2011,research-article
Nursery School Education for the Spastic Child,Bulletin of the National Association for Nursery Education,4,1948,research-article
Estimating Lost Household Services: Persons Over 50,Journal of Forensic Economics,11,2000,research-article
The Evolution of Water Institutions in Florida: A Neoinstitutionalist Perspective,Journal of Economic Issues,19,1990,research-article
Front Matter,Charity Organisation Review,8,1911,misc
Creating Labor-Law School Connections,Journal of Legal Education,7,1998,research-article
Some Trends in Two-Income Middle-class Urban Families,The Southwestern Social Science Quarterly,8,1958,research-article
Reducing Growth Rate of Population through Declines in Mortality: A Note,Economic and Political Weekly,4,1974,research-article
On New Zealand's Methods of Dealing with the Poor,Charity Organisation Review,3,1910,research-article
Relocation of a Punjab Pakistan Community,Middle East Journal,16,1954,research-article
"LOUIS XIV AND BRAZIL: THE FRENCH PROBE INTO MARANHAO, 1967-1700",Proceedings of the Meeting of the French Colonial Historical Society,16,1977,research-article
Complex Living Arrangements and Child Health: Examining Family Structure Linkages with Children's Health Outcomes,Family Relations,14,2014,research-article
"Pragmatists or Feminists? The Professional 'Single' Women of Accra, Ghana (Pragmatistes ou féministes? Femmes célibataires cadres à Accra)",Cahiers d'Études Africaines,22,1977,research-article
Shadow Times: The Temporal and Spatial Frameworks and Experiences of Caring and Working,Sociology,28,2002,research-article
THROUGH THE LOOKING GLASS: AN IDENTITY CRISIS IN SOCIOLOGY?,Sociological Practice,8,2004,research-article
"Smoke, but No Fire? In Social Science, Focus on the Most Distinct Part",PS: Political Science and Politics,4,2014,research-article
JUST ANOTHER NEOLIBERAL WORKER: Tracing the State's Treatment of Low-Income Mothers,International Journal of Sociology of the Family,17,2012,research-article
ROBBERY VICTIMIZATION IN THE U.S.: AN ANALYSIS OF A NONRANDOM EVENT,Social Science Quarterly,14,1981,research-article
Community Is Where Your Heart Is,History News,4,2000,research-article
The city as behavioral laboratory in a society of change,Ekistics,3,1973,research-article
PUBLIC EDUCATION IN WASHINGTON,Negro History Bulletin,2,1963,research-article
The Sociological Aspects of Farm Tenure,The Southwestern Social Science Quarterly,11,1942,research-article
A TEXTUAL STUDY OF SEXUALITY AND GENDER IDENTITY IN ANCIENT INDIA BASED ON THE RG VEDA AND THE ATHARVA VEDA,Bulletin of the Deccan College Research Institute,3,2006,research-article
Some Problems of Adjustment to Nashville's Site and Situation 1780-1860,Tennessee Historical Quarterly,8,1956,research-article
The Negro as a Laboring Man in the New World,Negro History Bulletin,4,1940,research-article
"MASSACHUSETTS EDUCATION, 1882 TO 1907",The Journal of Education,2,1918,research-article
Review Article,Contemporary Sociology,2,2016,book-review
Hindrances to the Development of an Ethnic Economy among Mexican Migrants,Human Organization,6,1994,research-article
The European Community as a catalyst for European urban networks,Ekistics,3,1992,research-article
MONTPELLIER AND THE BYZANTINE EMPIRE : COMMERCIAL INTERACTION IN THE MEDITERRANEAN WORLD BEFORE 1350,Byzantion,21,1978,research-article
Economic Transformation in a Hmong Village of Thailand,Human Organization,11,1997,research-article
Review Article,Social History,2,2001,book-review
ALLOWING FERTILITY DECLINE: 200 YEARS AFTER MALTHUS'S ESSAY ON POPULATION,Environmental Law,13,1997,research-article
General Education in the Social Sciences,The Southwestern Social Science Quarterly,12,1948,research-article
CHAPTER TWENTY-TWO: Under Construction: Sexualities in Rural Spaces,Counterpoints,12,2012,research-article
Population Characteristics and Trends in Arizona,The Southwestern Social Science Quarterly,9,1943,research-article
Land Rights and Women: Case of Santhals,Economic and Political Weekly,3,1997,research-article
[Editorials],The Journal of Education,3,1911,research-article
"Biotechnology, Public Policy, and the Social Sciences: Critical Needs in Teaching and Research",Politics and the Life Sciences,17,1987,research-article
Mexican Contract Labor in American Agriculture,The Southwestern Social Science Quarterly,11,1952,research-article
AT HOME IN SOUTH SINAI,Nomadic Peoples,20,2000,research-article
"GEOGRAPHIC ASSOCIATIONS BETWEEN URBAN-INDUSTRIAL DEVELOPMENT, THE MINING INDUSTRY, AND FERTILITY IN PENNSYLVANIA, 1880",Proceedings of the Pennsylvania Academy of Science,7,1978,research-article
"Women and Religion, Women as Episcopalians: Some Methodological Observations",Historical Magazine of the Protestant Episcopal Church,12,1983,research-article
The Changing Status and Role of Women in Toro (Western Uganda),Cahiers d'Études Africaines,28,1966,research-article
Review Article,Journal of Appalachian Studies,19,2013,book-review
Review Article,"Labour, Capital and Society / Travail, capital et société",5,1995,book-review
"Social and Ethical Norms: Appropriate Subjects in Universities, Too",Choices,3,1991,research-article
COMMENTS,Human Organization,10,1976,research-article
MEN: THE FORGOTTEN CARERS,Sociology,8,1989,research-article
CULTURAL AND INSTITUTIONAL ADAPTATION AND CHANGE IN EUROPE: A TEST OF INSTITUTIONAL ANOMIE THEORY USING TIME SERIES MODELLING OF HOMICIDE DATA,The British Journal of Criminology,22,2015,research-article
Keeping gay and bisexual men safe: The arena of HIV prevention science and praxis,Social Studies of Science,26,2016,research-article
A Socio-Economic Study of Clerks,Sociological Bulletin,3,1958,research-article
TRAINING OF RURAL TEACHERS IN NEBRASKA,The Journal of Education,2,1911,research-article
Violence and Social Care Staff: Positive and Negative Approaches to Risk,The British Journal of Social Work,17,2010,research-article
Ekistic environment and influences on the child,Ekistics,5,1995,research-article
[Editorials],The Journal of Education,3,1913,research-article
REPORTS FROM THE EDUCATIONAL FIELD,The Journal of Education,2,1923,research-article
Entokozweni: Managing a Community Service in an Urban African Area,Human Organization,8,1964,research-article
Tensions in an Industrial Slum,Economic and Political Weekly,3,1974,research-article
Review Article,Canadian Journal of African Studies / Revue Canadienne des Études Africaines,3,2013,book-review
Review Article,Contemporary Sociology,3,2016,book-review
Health inequalities: the need to move beyond bad behaviours,Journal of Epidemiology and Community Health (1979-),2,2013,research-article
"HOUSING, BUILDING AND PLANNING IN THE UNITED NATIONS DEVELOPMENT DECADE",Ekistics,6,1965,research-article
Review Article,Sociologus,3,1959,book-review
Review Article,The Virginia Magazine of History and Biography,2,1954,book-review
URBAN SOCIAL STRATIFICATION OF KASHMIR UNDER DOGRAS (1846-1947),Proceedings of the Indian History Congress,13,2002,research-article
A History of the Present: Uncovering Discourses in (South African) Child Welfare,The British Journal of Social Work,17,2010,research-article
FROM INTERACTIONS TO INSTITUTIONS: MICROPROCESSES OF FRAMING AND MECHANISMS FOR THE STRUCTURING OF INSTITUTIONAL FIELDS,The Academy of Management Review,29,2015,research-article
Manchester Plays Games: Exploring the Local Politics of Globalisation,Urban Studies,18,1996,research-article
Report from the Curriculum Committee,Politics and the Life Sciences,4,1982,misc
Here in the Suburbs: For Brenda Ross and Oscar Cohen,The Threepenny Review,2,1992,book-review
Review Article,Contemporary Sociology,3,2015,book-review
"The Response to Planned Change: A Study of the Rice Scheme in Chief Mwambo's Area (Lake Chilwa, Zomba, Malawi)",Cahiers d'Études Africaines,13,1971,research-article
Mega Event Securitisation in a Third World Setting: Glocal Processes and Ramifications during the 2010 FIFA World Cup,Urban Studies,20,2011,research-article
The Growth of Thought in Adolescence,Educational Horizons,7,1983,research-article
NEW YORK SCHOOLS,The Journal of Education,2,1908,research-article
"Looking Back, Looking Forward: Outgoing Chair's Address",History News,4,2009,research-article
"BOMBAY COTTONS ON (A CASE STUDY OF THE ECONOMIC REVOLUTION IN BOMBAY WITH SPECIAL REFERENCE TO COTTON AND THE TEXTILE INDUSTRY, 1850-1914)",Proceedings of the Indian History Congress,6,1976,research-article
Educational Backwardness of Muslims,Economic and Political Weekly,3,1992,research-article
Redefining Racism: A Deviance/Responsibility Intervention Model,Sociological Practice,5,2000,research-article
A Century of the Southern Plantation,The Virginia Magazine of History and Biography,32,1950,research-article
Experiencing Drudgery,Economic and Political Weekly,2,1990,book-review
Chapter 2. THE BAD OLD DAYS: The Pre—Civil Rights History of a Northern School District,Counterpoints,11,2012,research-article
HOMELESS FAMILIES,Social Work (1939-1970),5,1957,research-article
Hard Work and Competition in the Bristol Bay Salmon Fishery,Human Organization,9,1981,research-article
THE LAST FIFTEEN YEARS OF THE TOKUGAWA SHŌGUNATE,Kyoto University Economic Review,22,1934,research-article
APPLICATION OF SOCIOLOGY IN DEVELOPMENT PROGRAMS,Ekistics,3,1963,research-article
Some Readjustments of the Texas Negro Family to the Emergency of War,Social Science Quarterly,18,1970,research-article
Image of the Peace Field: An International Survey,Journal of Peace Research,12,1985,research-article
From the President,Young Children,5,1972,research-article
Feminist Perspectives on Family and Marriage: A Historical View,Economic and Political Weekly,4,2005,research-article
INCORPORATING EURO-AFRICANS IN AKAN LINEAGES AND A MODEST DEVELOPMENT TOWARDS A EURO-AFRICAN IDENTITY IN EIGHTEENTH CENTURY ELMINA,Transactions of the Historical Society of Ghana,26,2012,research-article
Coming Back to Normal? Census 2011 and Sex Ratios in India,Economic and Political Weekly,4,2015,research-article
How to Use the 1961 Census Working Force Data: A Comment [with Rejoinder],Economic and Political Weekly,3,1967,research-article
[Association Information],Young Children,6,1991,misc
The Role of Rational Planning in Economic Development: A Nigerian Example,Human Organization,8,1969,research-article
"Transnational Marriages, Gendered Citizenship, and the Dilemma of Iranian Women Married to Afghan Men",Iranian Studies,15,2007,research-article
Prostitution and the Ruling Class in Eighteenth-Century Montpellier,History Workshop,22,1978,research-article
Notices of Allied Families,The Virginia Magazine of History and Biography,3,1921,research-article
Some SLiCA project results from Chukotka,Études/Inuit/Studies,16,2007,research-article
Men in the Middle of the Third Culture: The Roles of American and Non-Western People in Cross-Cultural Administration,Human Organization,11,1963,research-article
Review Article,Social Science Quarterly,2,1995,book-review
Students' Involvement in International Humanitarian Aid: Learning from Student Responses to the 2004 Tsunami in Sri Lanka,The British Journal of Social Work,18,2015,research-article
LIQUOR POLITICS IN COLONIAL COORG-1834-1900,Proceedings of the Indian History Congress,8,2000,research-article
The Sociology of Compulsory School Attendance,Charity Organisation Review,11,1910,research-article
Ethical Ramifications of Student Recruitment,NACTA Journal,2,1987,research-article
"Distress, Dissent and Alienation: Hamilton Workers in the Great Depression",Urban History Review / Revue d'histoire urbaine,30,1992,research-article
The Evolution of the National Park Service: A Hundred Years of Changing Ideas,The George Wright Forum,22,2016,research-article
COMMUNITY DEVELOPMENT IN URBAN AREAS,Ekistics,4,1963,research-article
Review Article,Pacific Affairs,3,2014,book-review
CULTURAL IDENTITY AND COMMUNAL POLITICISATION IN A POST-NOMADIC SOCIETY: THE CASE OF THE NEGEV BEDOUIN,Nomadic Peoples,14,1997,research-article
EARLY CHILDHOOD 2001—Advocating for Comprehensive Services,Young Children,2,1992,research-article
"Queering Citizenship, Queering Middle East Studies",International Journal of Middle East Studies,3,2013,research-article
Social Capital and Neighbourhoods that Work,Urban Studies,28,2005,research-article
Book Notes,Urban Studies,2,1984,misc
DEMOGRAPHIC TRANSITION IN KOREA,Bulletin of the Population and Development Studies Center,14,1980,research-article
Review Article,The Journal of Education,5,1985,book-review
WOMEN IN BHUTAN: EXPLORING THEIR SOCIO CULTURAL STATUS IN THE LATE 20           <sup>TH</sup>           CENTURY,Proceedings of the Indian History Congress,8,2014,research-article
Some Answers to Campus Dissent,Brigham Young University Studies,7,1969,research-article
"Schoolrooms, Pupils, and Rules: The Role of Informality in Bureaucratic Socialization",Human Organization,10,1979,research-article
"Men and Women, Husbands and Wives: The Role of Gender in Traditional Inuit Society",Études/Inuit/Studies,16,1986,research-article
Review Article,Politics and the Life Sciences,3,1998,book-review
"Donor Conception and (Dis)closure in the UK: Siblingship, Friendship and Kinship",Sociologus,22,2015,research-article
The Power and Predicament of Historic Sites,History News,5,2010,research-article
"Religion, Population Growth, Fertility and Family Planning Practice in India",Economic and Political Weekly,10,2003,research-article
"Sex Ratio at Birth among Chinese Malaysians, 1963-2003",Sojourn: Journal of Social Issues in Southeast Asia,11,2014,research-article
Drought and Coping Strategies in Fulƃe Society in the Hayre (Central Mali): A Historical Perspective (Crise et identité dans la société fulbe du Haayre (Mali central): une perspective historique),Cahiers d'Études Africaines,24,1994,research-article
Review Article,The Virginia Magazine of History and Biography,3,1999,book-review
Declaration of Delos Twelve,Ekistics,2,1975,research-article
Review Article,Perspectives on Politics,3,2014,book-review
Where have all the brides gone? Son preference and marriage in India over the twentieth century,The Economic History Review,24,2014,research-article
"RACE, CLASS AND RESPECTABILITY: WEST INDIAN ACTIVISM IN COMPARATIVE PERSPECTIVE",Sociology,17,1978,research-article
THE IMAGE OF TIMBUKTU IN EUROPE BEFORE CAILLIÉ,Proceedings of the Meeting of the French Colonial Historical Society,11,1985,research-article
THE RELATIONSHIP BETWEEN GENDER IDEOLOGY AND DIVISION OF LABOUR IN SIKH HOUSEHOLDS,International Journal of Sociology of the Family,16,2012,research-article
Review Article,Middle Eastern Studies,4,1973,book-review
Deciding Where to Retire: Intended Retirement Location Choices of Formerly Undocumented Mexican Migrants,Social Science Quarterly,21,2004,research-article
SOCIAL MIX AND ENVIRONMENTAL DESIGN: EXPLORATION OF A CONTEMPORARY CONCEPT,Journal of Architectural and Planning Research,12,1986,research-article
UNITED COVER: For Freedom in 1963,Negro History Bulletin,3,1963,research-article
"Private Property in Simpler Hydraulic (""Oriental"") Societies",Sociologus,12,1955,research-article
"THE BOND OF EDUCATION: GENDER, THE VALUE OF CHILDREN, AND THE MAKING OF UMLAZI TOWNSHIP IN 1960s SOUTH AFRICA",The Journal of African History,24,2014,research-article
"Tracing Family, Teaching Race: Critical Race Pedagogy in the Millennial Sociology Classroom",Teaching Sociology,16,2013,research-article
Social Change and Marital Expectations in Contemporary Poland,Journal of Comparative Family Studies,16,1978,research-article
The Economic Development of the Philippines in the Second Half of the Eighteenth Century,Philippine Studies,37,1963,research-article
Archetypal place,Ekistics,8,1974,research-article
The gender factor in family size and health issues in modern Nigerian homes,Transformation,3,1996,research-article
COHOUSING IN HUD HOUSING — PROBLEMS AND PROSPECTS,Journal of Architectural and Planning Research,13,2000,research-article
Hindu Marriages in Calcutta,Journal of Comparative Family Studies,6,1978,research-article
Early Childhood News from around the Globe: Step by Step—Early Childhood Education in Emerging Democracies,YC Young Children,5,2004,research-article
Responses of a Traditional Elite to Modernization: Lawyers in Colombia,Human Organization,11,1970,research-article
Where Have All the Young Men Gone?: Social Fragmentation during Rapid Neoliberal Development in Nepal's Himalayas,Human Organization,13,2014,research-article
CAREER EDUCATION REVISITED,Journal of Thought,9,1975,research-article
How Theory Shapes Practice: Approaches to Woman Abuse and Child Abuse in South Africa,The British Journal of Social Work,17,2014,research-article
Front Matter,Charity Organisation Review,7,1915,misc
The Evolution of China's One-Child Policy and Its Effects on Family Outcomes,The Journal of Economic Perspectives,19,2017,research-article
Disasters Compared in Six American Communities,Human Organization,4,1957,research-article
Who Remains Childless? Unrealised Fertility Plans in Hungary,Sociologický Časopis / Czech Sociological Review,29,2015,research-article
"Living Arrangements and the Elderly: An Analysis of Old-Age Mortality by Household Structure in Casalguidi, 1819-1859",Demography,21,2013,research-article
Editorial,The British Journal of Social Work,7,2010,research-article
SOME REFERENCES TO JEWS IN THE SUGAR TRADE,Publications of the American Jewish Historical Society,5,1953,research-article
Review Article,Social Science Japan Journal,4,2015,book-review
CALCUTTA MUNICIPAL POLITICS IN 1890,Proceedings of the Indian History Congress,8,1974,research-article
MEDICAL INSPECTION OF SCHOOL CHILDREN,The Journal of Education,2,1910,research-article
Review Article,Social History,4,1979,book-review
SOCIAL PROBLEMS IN TEXAS,The Southwestern Political and Social Science Quarterly,9,1924,research-article
EDITORIALS,The Journal of Education,2,1927,research-article
Collective Action and Community-driven Development in Rural and Urban Indonesia,Urban Studies,18,2006,research-article
Everyday Life in Figurational Approach: A Meso Level for Sociological Analysis,Historical Social Research / Historische Sozialforschung,14,2016,research-article
The perils of population,Issues in Science and Technology,3,1994,book-review
"The Roots of Enterprise: Black-Owned Businesses in Virginia, 1830-1880",The Virginia Magazine of History and Biography,28,1992,research-article
"Land and Labor: The Quest for Black Economic Independence on Virginia's Lower Peninsula, 1865-1880",The Virginia Magazine of History and Biography,16,1992,research-article
[Association Information],Young Children,8,1996,misc
SOCIAL RESPONSIBILITIES IN TRAINING NONDEGREE STUDENTS,NACTA Journal,3,1971,research-article
WOMEN IN THE DEFENSE DECADE,Pi Lambda Theta Journal,3,1951,research-article
Notes on Social Work Abroad,Charity Organisation Review,5,1903,misc
Memoranda on Official Papers,Charity Organisation Review,6,1916,research-article
Eviction of Landless Tribals in Ahmadnagar,Economic and Political Weekly,4,2003,research-article
Clerical Incomes in Eighteenth Century England,Historical Magazine of the Protestant Episcopal Church,15,1949,research-article
POST-PASTORALIST FIRST PHASE FEUDALISM IN INDIAN HISTORY AND HISTORIOGRAPHY (SUMMARY OF PAPER),Proceedings of the Indian History Congress,5,1981,misc
USA's Destiny? Regulating Space and Creating Community in American Shopping Malls,Urban Studies,16,2006,research-article
INEQUALITY INDECISION-MAKING AND MARITAL POWERAMONG THE SIKHS,International Journal of Sociology of the Family,12,2012,research-article
Multiculturalism and Governing Neighbourhoods,Urban Studies,15,2001,research-article
Neighbourhood Unit Assessments—Simple or Complex ?,Official Architecture and Planning,4,1967,research-article
A Christian perspective on the family,Transformation,3,1996,research-article
Hidden Voluntary Social Work: A Nationally Representative Survey of Muslim Congregations in Sweden,The British Journal of Social Work,12,2011,research-article
"The Case of Siliadin V. France: Modern Slavery, Nation and Supranational States, Gender and Power",Review (Fernand Braudel Center),13,2012,research-article
CULTURAL BARRIERS AND SOCIAL PROGRESS,Ekistics,3,1962,research-article
Princes as Highway Men. A Consideration of the Phenomenon of Armed Banditry in Precolonial Borgu (Les princes comme bandits de grand chemin: une analyse du phénomène de banditisme armé dans le Borgu précolonial),Cahiers d'Études Africaines,18,2001,research-article
The Modern Midwife (Sanba) and the Transformation of Childbirth at the Local Level in Japan,U.S.-Japan Women's Journal,20,2003,research-article
Notes and Queries,The Virginia Magazine of History and Biography,14,1928,research-article
The Gift Economy: a Study of Women Migrants' Survival strategies in a Low-Income Bamako Neighborhood,"Labour, Capital and Society / Travail, capital et société",27,1989,research-article
Differential Distribution of Social Cost: An Electricity Generation Plant in Telengana,Economic and Political Weekly,5,1997,research-article
Gender Role Attitudes around the Globe: Egalitarian vs. Traditional Views,Asian Journal of Social Science,18,2011,research-article
Front Matter,"The Library Quarterly: Information, Community, Policy",5,1951,misc
Mobilisation of Urban Sweepers,Economic and Political Weekly,2,1974,research-article
FIFTY YEARS OF EDUCATION,The Journal of Education,8,1923,research-article
Review Article,Social History,3,2004,book-review
Israeli-Palestinian Women and Their Reasons for Divorce: A Comparative Perspective,Israel Studies Review,23,2013,research-article
REPORTS FROM THE EDUCATIONAL FIELD,The Journal of Education,2,1922,research-article
Labour Migration and Economic Conditions in Nineteenth-Century Anatolia,Middle Eastern Studies,32,1998,research-article
Annual Report,History News,3,1960,research-article
CULTURAL DIFFERENTIATION OF THE RUSSIAN MINORITY,Journal of Baltic Studies,25,2009,research-article
Catholic Serials of the Nineteenth Century in Washington State,Records of the American Catholic Historical Society of Philadelphia,9,1962,research-article
Measurement models of women's autonomy using the 1998/1999 India DHS,Journal of Population Research,15,2013,research-article
"PEASANT DIFFERENTIATION AS REFLECTED IN THE ""ARTHASASTRA""",Proceedings of the Indian History Congress,17,2011,research-article
A Dissenting View of Creole Culture in Sierra Leone (Une approche non-conventionnelle de la culture des Créoles de Sierra Leone),Cahiers d'Études Africaines,16,1991,research-article
Children's Perceptions of the Social Support of Neighborhood Institutions and Establishments,Human Organization,9,2005,research-article
HOUSING AND PARTICIPATION,Built Environment (1972-1975),5,1973,research-article
"Fertility, Economic Development, and Health in the Early Twentieth-Century U.S. South",The Journal of Interdisciplinary History,39,2015,research-article
'THE FAMILY' AS AN ANALYTICAL TOOL: Cases from International Marriages and Marriage Migration in East Asia,International Journal of Sociology of the Family,22,2012,research-article
"Cotton Mill Workers in Bombay, 1875 to 1918: Conditions of Work and Life",Economic and Political Weekly,13,1990,research-article
Review Article,Contemporary Sociology,3,2014,book-review
Transforming the Role of the Counselor to Provide Leadership in Educational Reform through Collaboration,Professional School Counseling,9,2000,research-article
A Private Fortune and the Democratic Process in Jacksonian Louisiana,Louisiana History: The Journal of the Louisiana Historical Association,21,1987,research-article
Editorial,Built Environment (1972-1975),1,1973,research-article
Back Matter,Politics and the Life Sciences,2,1995,misc
The term return in the Palestinian discourse on the Right of Return,Discourse & Society,16,2008,research-article
"FINANCING THE STONE: Canada's big banks support city-building initiatives, but will they put their millions where their mouth is?",Corporate Knights,2,2007,research-article
The Modernization of Turkish Women,Middle East Journal,16,1978,research-article
The Caring Society,Educational Horizons,7,1978,research-article
The Relationship of Jewish Community Contexts and Jewish Identity: A 22-Community Study,Contemporary Jewry,47,2012,research-article
PARTITION OF THE PUNJAB 1947; DISPERSION OF AGRICULTURISTS OF WEST PUNJAB AND THEIR RESETTLEMENT IN EAST PUNJAB: A CASE STUDY OF NAMDHARI SIKHS,Proceedings of the Indian History Congress,12,2008,research-article
THE STATUS OF WOMEN,Educational Horizons,3,1970,research-article
Review Article,New Blackfriars,2,1970,book-review
ON THE PERSONAL SIDE,Bulletin of the National Association for Nursery Education,13,1950,research-article
"The Transitional Period in Pike County History: ""From Red Man to White Man""",Central States Archaeological Journal,5,1959,research-article
'OLD' BRITISH VERSUS 'OLD' GERMAN ANTHROPOLOGY: The Kond case in Odisha (India),Paideuma: Mitteilungen zur Kulturkunde,21,2016,research-article
TRENDS IN COMPARATIVE TIME-BUDGET RESEARCH,Ekistics,6,1967,research-article
"Trends in Concurrency, Polygyny, and Multiple Sex Partnerships During a Decade of Declining HIV Prevalence in Eastern Zimbabwe",The Journal of Infectious Diseases,7,2014,research-article
DALIT IN INDIA: RETROSPECT AND PROSPECT,Proceedings of the Indian History Congress,5,2014,research-article
Advocacy—Professional School Counselors Closing the Achievement Gap Through Empowerment: A Response to Hipolito-Delgado and Lee,Professional School Counseling,3,2007,research-article
Review Article,Shofar,4,2006,book-review
Eurocities — A system of major urban centers in Europe,Ekistics,7,1992,research-article
Review Article,Western American Literature,4,2010,book-review
Review Article,Landscape Journal,3,1983,book-review
Traditionalism: A Panacea for Marital Adjustment?,Economic and Political Weekly,3,1971,book-review
Living Arrangements among Indian Elderly: New Evidence from National Family Health Survey,Economic and Political Weekly,6,2003,research-article
Access to Labor in Rural Mali,Human Organization,10,1996,research-article
Cleveland Schools,The Journal of Education,3,1929,research-article
developing cooperative school environments for children,Elementary School Guidance & Counseling,7,1984,research-article
Evaluating place-based programmes for health improvement,Journal of Epidemiology and Community Health (1979-),1,2014,research-article
"JOURNEYS, SPCES AND CULTURE: THE EUROPEANS UNDER MAST IN THE 16TH AND 17TH CENTURIES",Proceedings of the Indian History Congress,6,2014,research-article
The Feminization of Poverty,Journal of Economic Issues,9,1987,research-article
WARTIME EMPLOYMENT AND CULTURAL ADJUSTMENTS OF THE ROSEBUD SIOUX,Applied Anthropology,9,1943,research-article
Class Origins of Relief Children,The Southwestern Social Science Quarterly,10,1941,research-article
Resolutions Adopted at the Plenary Session of the World Federation of Education Associations,The Journal of Education,2,1925,research-article
Review Article,Contemporary Sociology,2,2014,book-review
WILL THE DUTCH REVIVE COLONIAL TARIFF PREFERENCES?,The Southwestern Social Science Quarterly,13,1931,research-article
PROPERTY AND GENDER RELATIONS AMONG TWAREG NOMADS,Nomadic Peoples,5,1987,research-article
[Editorial],The Journal of Education,3,1907,research-article
"Draft Resettlement and Rehabilitation Policy, 2006",Economic and Political Weekly,4,2006,research-article
Review Article,Nomadic Peoples,3,2000,book-review
